,Power Ranking,Celebrity Name,Pay
1,1,Tom Cruise,67
2,2,RollingÿStones,90
3,3,OprahÿWinfrey,225
4,4,U2,110
5,5,TigerÿWoods,90
6,6,StevenÿSpielberg,332
7,7,HowardÿStern,302
8,8,50ÿCent,41
9,9,CastÿofÿtheÿSopranos,52
10,10,DanÿBrown,88
11,11,BruceÿSpringsteen,55
12,12,DonaldÿTrump,44
13,13,MuhammadÿAli,55
14,14,PaulÿMcCartney,40
15,15,GeorgeÿLucas,233
19,15,J.KÿRowling,90
16,16,EltonÿJohn,34
17,17,DavidÿLetterman,40
18,18,PhilÿMickelson,47
20,20,BraddÿPitt,25
21,21,PeterÿJackson,39
22,22,Dr.ÿPhilÿMcGraw,45
23,23,JayÿLenon,32
24,24,CelineÿDion,40
25,25,KobeÿBryant,31
